Timestamp,How often do you use Mastodon?,What describes your WordPress field of work best?,How important would you describe your role in the WordPress Community?,How important is Mastodon to your WordPress-related social media activity?,How do you experience the quality of communication with the WordPress community on Mastodon compared to other social media?,Are you using a WordPress-oriented Mastodon instance?,Do you think Mastodon will have a significant influence on the WordPress community in the future?,"From the following options, what would you like to see more on Mastodon?"
23/02/2023 09:44:30,Frequently use,"Community work, Development, Hosting",Moderately Important,Very Important,Much better,Yes,Very influential,"Community-related discussions about the future and further development of the WordPress ecosystem, WordPress tips, tricks, help and support regarding development and usage"
24/02/2023 17:24:08,Frequently use,"Development, Support, Using WordPress as a tool",Not Important,Not Important,Much better,"No, and not considered",Somewhat influential,
24/02/2023 17:24:58,Frequently use,"Development, Hosting, Influencer or generally writing about WordPress, Using WordPress as a tool",Not Important,Moderately Important,Much better,"No, and not considered",Extremely influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress organisations/companies with official accounts promoting and supporting their products and events, WordPress tips, tricks, help and support regarding development and usage"
24/02/2023 17:26:23,Frequently use,Using WordPress as a tool,Not Important,Moderately Important,Somewhat better,"No, but considered",Very influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress tips, tricks, help and support regarding development and usage"
24/02/2023 17:26:58,Frequently use,Development,Not Important,Very Important,About the same,"No, and not considered",Slightly influential,Community-related discussions about the future and further development of the WordPress ecosystem
24/02/2023 17:30:09,Frequently use,Support,Moderately Important,Moderately Important,Somewhat better,"No, and not considered",Very influential,Community-related discussions about the future and further development of the WordPress ecosystem
24/02/2023 17:31:19,Frequently use,"Development, Hosting",Moderately Important,Not Important,About the same,"No, and not considered",Somewhat influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, Personal influencer accounts of important community members, WordPress tips, tricks, help and support regarding development and usage"
24/02/2023 17:34:59,Frequently use,Development,Moderately Important,Not Important,Somewhat worse,"No, and not considered",Very influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress organisations/companies with official accounts promoting and supporting their products and events, Personal influencer accounts of important community members, WordPress tips, tricks, help and support regarding development and usage"
24/02/2023 17:43:28,Frequently use,Hosting,Not Important,Not Important,Somewhat better,"No, and not considered",Very influential,Community-related discussions about the future and further development of the WordPress ecosystem
24/02/2023 17:48:02,Frequently use,"Development, Hosting, Support",Moderately Important,Moderately Important,Somewhat better,"No, but considered",Very influential,"Community-related discussions about the future and further development of the WordPress ecosystem, WordPress organisations/companies with official accounts promoting and supporting their products and events, WordPress tips, tricks, help and support regarding development and usage"
